Unnamed: 0,nameWithOwner,url,stargazers,releases,age,loc,cbo,dit,lcom
0,CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,137746,0,3,0.0,0.0,0.0,0.0
1,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,110135,0,3,0.0,0.0,0.0,0.0
2,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,66728,0,2,0.0,0.0,0.0,0.0
3,doocs/advanced-java,https://github.com/doocs/advanced-java,57012,0,2,0.0,0.0,0.0,0.0
4,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,56999,106,8,0.0,0.0,0.0,0.0
5,elastic/elasticsearch,https://github.com/elastic/elasticsearch,56331,56,11,0.0,0.0,0.0,0.0
6,kdn251/interviews,https://github.com/kdn251/interviews,53779,0,4,0.0,0.0,0.0,0.0
7,macrozheng/mall,https://github.com/macrozheng/mall,52188,1,3,0.0,0.0,0.0,0.0
8,ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,45132,225,8,0.0,0.0,0.0,0.0
9,spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,44189,210,10,0.0,0.0,0.0,0.0
10,google/guava,https://github.com/google/guava,42235,32,7,0.0,0.0,0.0,0.0
11,TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,40426,0,5,0.0,0.0,0.0,0.0
12,square/retrofit,https://github.com/square/retrofit,38649,0,11,0.0,0.0,0.0,0.0
13,kon9chunkit/GitHub-Chinese-Top-Charts,https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts,38376,0,2,0.0,0.0,0.0,0.0
14,apache/dubbo,https://github.com/apache/dubbo,36091,38,9,0.0,0.0,0.0,0.0
15,PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,33887,44,7,0.0,0.0,0.0,0.0
16,airbnb/lottie-android,https://github.com/airbnb/lottie-android,31710,36,4,0.0,0.0,0.0,0.0
17,bumptech/glide,https://github.com/bumptech/glide,31664,36,8,0.0,0.0,0.0,0.0
18,Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,29778,116,5,0.0,0.0,0.0,0.0
19,NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,28644,14,2,0.0,0.0,0.0,0.0
20,geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,28366,0,1,0.0,0.0,0.0,0.0
21,zxing/zxing,https://github.com/zxing/zxing,28320,27,9,0.0,0.0,0.0,0.0
22,netty/netty,https://github.com/netty/netty,27480,0,10,0.0,0.0,0.0,0.0
23,eugenp/tutorials,https://github.com/eugenp/tutorials,27396,0,8,0.0,0.0,0.0,0.0
24,skylot/jadx,https://github.com/skylot/jadx,27042,14,8,0.0,0.0,0.0,0.0
25,alibaba/arthas,https://github.com/alibaba/arthas,27016,37,3,0.0,0.0,0.0,0.0
26,ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,26178,0,4,0.0,0.0,0.0,0.0
27,JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,25733,0,8,0.0,0.0,0.0,0.0
28,proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down,25380,49,3,0.0,0.0,0.0,0.0
29,apolloconfig/apollo,https://github.com/apolloconfig/apollo,25376,32,5,0.0,0.0,0.0,0.0
30,jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot,24740,16,2,0.0,0.0,0.0,0.0
