,nameWithOwner,url,stargazers,releases,age
0,CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,138016,0,3
1,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,110373,0,3
2,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,69870,0,7
3,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,66816,0,2
4,doocs/advanced-java,https://github.com/doocs/advanced-java,57142,0,2
5,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,57070,106,8
6,elastic/elasticsearch,https://github.com/elastic/elasticsearch,56383,56,11
7,kdn251/interviews,https://github.com/kdn251/interviews,53830,0,4
8,macrozheng/mall,https://github.com/macrozheng/mall,52296,1,3
9,ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,45154,225,8
10,spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,44234,210,10
11,google/guava,https://github.com/google/guava,42296,32,7
12,TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,40524,0,5
13,square/retrofit,https://github.com/square/retrofit,38668,0,11
14,kon9chunkit/GitHub-Chinese-Top-Charts,https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts,38453,0,2
15,apache/dubbo,https://github.com/apache/dubbo,36115,38,9
16,PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,33906,44,7
17,airbnb/lottie-android,https://github.com/airbnb/lottie-android,31736,36,4
18,bumptech/glide,https://github.com/bumptech/glide,31681,36,8
19,Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,29801,116,5
20,NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,28695,15,2
21,geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,28483,0,1
22,zxing/zxing,https://github.com/zxing/zxing,28348,27,9
23,netty/netty,https://github.com/netty/netty,27532,0,10
24,eugenp/tutorials,https://github.com/eugenp/tutorials,27437,0,8
25,skylot/jadx,https://github.com/skylot/jadx,27086,14,8
26,alibaba/arthas,https://github.com/alibaba/arthas,27060,37,3
27,crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout,26383,0,3
28,ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,26198,0,4
29,JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,25735,0,8
30,apolloconfig/apollo,https://github.com/apolloconfig/apollo,25411,33,5
31,proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down,25379,49,3
32,jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot,24883,16,2
33,alibaba/druid,https://github.com/alibaba/druid,24466,42,9
34,alibaba/fastjson,https://github.com/alibaba/fastjson,23760,82,9
35,greenrobot/EventBus,https://github.com/greenrobot/EventBus,23593,5,9
36,xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,23291,0,3
37,scwang90/SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,22946,8,4
38,lenve/vhr,https://github.com/lenve/vhr,22259,0,3
39,CymChad/BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,22248,191,5
40,dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,22050,135,5
41,Netflix/Hystrix,https://github.com/Netflix/Hystrix,21933,79,8
42,SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,21610,69,8
43,wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,21603,0,3
44,hollischuang/toBeTopJavaer,https://github.com/hollischuang/toBeTopJavaer,21517,0,2
45,qiurunze123/miaosha,https://github.com/qiurunze123/miaosha,21466,0,2
46,signalapp/Signal-Android,https://github.com/signalapp/Signal-Android,21098,0,9
47,alibaba/easyexcel,https://github.com/alibaba/easyexcel,21064,1,3
48,seata/seata,https://github.com/seata/seata,20738,31,2
49,alibaba/canal,https://github.com/alibaba/canal,20409,21,8
50,dromara/hutool,https://github.com/dromara/hutool,20352,100,7
51,alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,20033,25,3
52,google/gson,https://github.com/google/gson,20015,1,6
53,apache/kafka,https://github.com/apache/kafka,19827,0,10
54,halo-dev/halo,https://github.com/halo-dev/halo,19680,72,3
55,ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid,19492,18,7
56,alibaba/nacos,https://github.com/alibaba/nacos,19432,41,3
57,xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,19365,30,5
58,libgdx/libgdx,https://github.com/libgdx/libgdx,18884,8,9
59,google/ExoPlayer,https://github.com/google/ExoPlayer,18223,13,7
60,square/picasso,https://github.com/square/picasso,18110,7,8
61,Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,17912,5,9
62,didi/DoraemonKit,https://github.com/didi/DoraemonKit,17908,4,3
63,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,17805,123,10
64,DrKLO/Telegram,https://github.com/DrKLO/Telegram,17801,68,7
65,apache/skywalking,https://github.com/apache/skywalking,17682,46,5
66,redisson/redisson,https://github.com/redisson/redisson,17335,99,7
67,bazelbuild/bazel,https://github.com/bazelbuild/bazel,17290,115,7
68,alibaba/Sentinel,https://github.com/alibaba/Sentinel,17270,18,3
69,apache/flink,https://github.com/apache/flink,17072,0,7
70,nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,16842,0,9
71,facebook/fresco,https://github.com/facebook/fresco,16655,44,6
72,CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,16630,26,4
73,linlinjava/litemall,https://github.com/linlinjava/litemall,16310,8,3
74,elunez/eladmin,https://github.com/elunez/eladmin,16307,6,2
75,mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,16179,34,8
76,shuzheng/zheng,https://github.com/shuzheng/zheng,16082,0,4
77,Tencent/tinker,https://github.com/Tencent/tinker,16000,42,5
78,forezp/SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,15923,0,4
79,dianping/cat,https://github.com/dianping/cat,15882,0,8
80,oracle/graal,https://github.com/oracle/graal,15869,32,5
81,brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP,15704,0,7
82,apache/rocketmq,https://github.com/apache/rocketmq,15289,3,4
83,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,15078,0,8
84,winterbe/java8-tutorial,https://github.com/winterbe/java8-tutorial,15001,0,7
85,android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,14947,0,7
86,TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,14895,107,6
87,openzipkin/zipkin,https://github.com/openzipkin/zipkin,14692,62,9
88,apache/shardingsphere,https://github.com/apache/shardingsphere,14504,44,5
89,JeffLi1993/springboot-learning-example,https://github.com/JeffLi1993/springboot-learning-example,14490,0,4
90,lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,14439,3,4
91,LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,14062,12,8
92,hdodenhof/CircleImageView,https://github.com/hdodenhof/CircleImageView,14005,0,7
93,lgvalle/Material-Animations,https://github.com/lgvalle/Material-Animations,13583,0,6
94,dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,13526,0,5
95,alibaba/ARouter,https://github.com/alibaba/ARouter,13407,16,4
96,Tencent/QMUI_Android,https://github.com/Tencent/QMUI_Android,13150,35,4
97,orhanobut/logger,https://github.com/orhanobut/logger,12976,16,6
98,Bigkoo/Android-PickerView,https://github.com/Bigkoo/Android-PickerView,12908,0,6
99,material-components/material-components-android,https://github.com/material-components/material-components-android,12787,41,4
100,LuckSiege/PictureSelector,https://github.com/LuckSiege/PictureSelector,10790,97,4
101,zhisheng17/flink-learning,https://github.com/zhisheng17/flink-learning,10766,0,2
102,permissions-dispatcher/PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,10762,40,6
103,Netflix/eureka,https://github.com/Netflix/eureka,10712,141,9
104,pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper,10621,8,7
105,antlr/antlr4,https://github.com/antlr/antlr4,10606,22,11
106,projectlombok/lombok,https://github.com/projectlombok/lombok,10524,3,12
107,hyb1996/Auto.js,https://github.com/hyb1996/Auto.js,10447,0,4
108,google/guice,https://github.com/google/guice,10414,14,7
109,ben-manes/caffeine,https://github.com/ben-manes/caffeine,10398,55,6
110,lipangit/JiaoZiVideoPlayer,https://github.com/lipangit/JiaoZiVideoPlayer,10386,78,5
111,H07000223/FlycoTabLayout,https://github.com/H07000223/FlycoTabLayout,10386,4,5
112,heibaiying/BigData-Notes,https://github.com/heibaiying/BigData-Notes,10382,0,2
113,jeasonlzy/okhttp-OkGo,https://github.com/jeasonlzy/okhttp-OkGo,10373,14,5
114,java-decompiler/jd-gui,https://github.com/java-decompiler/jd-gui,10355,18,6
115,lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader,10293,65,5
116,JakeWharton/ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,10232,0,10
117,tbruyelle/RxPermissions,https://github.com/tbruyelle/RxPermissions,10229,11,5
118,frank-lam/fullstack-tutorial,https://github.com/frank-lam/fullstack-tutorial,10040,0,3
119,redis/jedis,https://github.com/redis/jedis,10033,49,11
120,code4craft/webmagic,https://github.com/code4craft/webmagic,10018,20,8
121,keycloak/keycloak,https://github.com/keycloak/keycloak,9948,11,8
122,mission-peace/interview,https://github.com/mission-peace/interview,9937,0,7
123,apache/zookeeper,https://github.com/apache/zookeeper,9823,0,12
124,YoKeyword/Fragmentation,https://github.com/YoKeyword/Fragmentation,9704,30,5
125,aosp-mirror/platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base,9702,0,12
126,daniulive/SmarterStreaming,https://github.com/daniulive/SmarterStreaming,9679,0,5
127,liaohuqiu/android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,9674,8,6
128,ksoichiro/Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView,9622,0,6
129,OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator,9616,42,3
130,alibaba/DataX,https://github.com/alibaba/DataX,9585,0,3
131,janishar/mit-deep-learning-book-pdf,https://github.com/janishar/mit-deep-learning-book-pdf,9569,3,4
132,apache/pulsar,https://github.com/apache/pulsar,9566,50,5
133,HarlonWang/AVLoadingIndicatorView,https://github.com/HarlonWang/AVLoadingIndicatorView,9551,1,5
134,macrozheng/mall-learning,https://github.com/macrozheng/mall-learning,9522,0,2
135,pockethub/PocketHub,https://github.com/pockethub/PocketHub,9472,1,10
136,wasabeef/glide-transformations,https://github.com/wasabeef/glide-transformations,9453,0,6
137,google/auto,https://github.com/google/auto,9386,51,8
138,react-native-camera/react-native-camera,https://github.com/react-native-camera/react-native-camera,9365,142,6
139,umano/AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel,9322,8,8
140,neo4j/neo4j,https://github.com/neo4j/neo4j,9288,72,8
141,googlesamples/easypermissions,https://github.com/googlesamples/easypermissions,9243,12,5
142,thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,9205,44,4
143,perwendel/spark,https://github.com/perwendel/spark,9159,0,10
144,square/javapoet,https://github.com/square/javapoet,9124,0,8
145,navasmdc/MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,9120,3,6
146,clojure/clojure,https://github.com/clojure/clojure,9085,0,11
147,bilibili/DanmakuFlameMaster,https://github.com/bilibili/DanmakuFlameMaster,9060,5,8
148,MyCATApache/Mycat-Server,https://github.com/MyCATApache/Mycat-Server,9046,7,6
149,grpc/grpc-java,https://github.com/grpc/grpc-java,9040,96,6
150,jhy/jsoup,https://github.com/jhy/jsoup,9001,4,11
151,careercup/CtCI-6th-Edition,https://github.com/careercup/CtCI-6th-Edition,8991,0,6
152,pxb1988/dex2jar,https://github.com/pxb1988/dex2jar,8923,4,6
153,koral--/android-gif-drawable,https://github.com/koral--/android-gif-drawable,8922,55,8
154,apereo/cas,https://github.com/apereo/cas,8919,191,10
155,termux/termux-app,https://github.com/termux/termux-app,8905,88,5
156,hackware1993/MagicIndicator,https://github.com/hackware1993/MagicIndicator,8853,12,5
157,lihengming/spring-boot-api-project-seed,https://github.com/lihengming/spring-boot-api-project-seed,8826,4,4
158,zaproxy/zaproxy,https://github.com/zaproxy/zaproxy,8786,227,6
159,DuGuQiuBai/Java,https://github.com/DuGuQiuBai/Java,8657,0,5
160,lzyzsd/JsBridge,https://github.com/lzyzsd/JsBridge,8628,0,6
161,chrisjenx/Calligraphy,https://github.com/chrisjenx/Calligraphy,8624,4,7
162,didi/VirtualAPK,https://github.com/didi/VirtualAPK,8521,4,4
163,Freelander/Android_Data,https://github.com/Freelander/Android_Data,8428,0,6
164,TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,8391,13,11
165,OpenRefine/OpenRefine,https://github.com/OpenRefine/OpenRefine,8343,27,8
166,florent37/MaterialViewPager,https://github.com/florent37/MaterialViewPager,8225,11,6
167,Blankj/awesome-java-leetcode,https://github.com/Blankj/awesome-java-leetcode,8202,0,4
168,android/testing-samples,https://github.com/android/testing-samples,8196,0,6
169,junit-team/junit4,https://github.com/junit-team/junit4,8189,13,12
170,stanfordnlp/CoreNLP,https://github.com/stanfordnlp/CoreNLP,8138,4,8
171,facebook/buck,https://github.com/facebook/buck,8036,56,8
172,asLody/VirtualApp,https://github.com/asLody/VirtualApp,8015,0,5
173,Activiti/Activiti,https://github.com/Activiti/Activiti,8012,27,8
174,alibaba/atlas,https://github.com/alibaba/atlas,7993,7,4
175,ybq/Android-SpinKit,https://github.com/ybq/Android-SpinKit,7993,0,5
176,crossoverJie/cim,https://github.com/crossoverJie/cim,7929,7,3
