,nameWithOwner,url,stargazers,releases,age
0,CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,137745,0,3
1,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,110133,0,3
2,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,69805,0,7
3,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,66727,0,2
4,doocs/advanced-java,https://github.com/doocs/advanced-java,57011,0,2
5,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,56998,106,8
6,elastic/elasticsearch,https://github.com/elastic/elasticsearch,56329,56,11
7,kdn251/interviews,https://github.com/kdn251/interviews,53777,0,4
8,macrozheng/mall,https://github.com/macrozheng/mall,52187,1,3
9,ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,45132,225,8
10,spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,44189,210,10
11,google/guava,https://github.com/google/guava,42234,32,7
12,TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,40420,0,5
13,square/retrofit,https://github.com/square/retrofit,38648,0,11
14,kon9chunkit/GitHub-Chinese-Top-Charts,https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts,38375,0,2
15,apache/dubbo,https://github.com/apache/dubbo,36090,38,9
16,PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,33886,44,7
17,airbnb/lottie-android,https://github.com/airbnb/lottie-android,31710,36,4
18,bumptech/glide,https://github.com/bumptech/glide,31664,36,8
19,Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,29778,116,5
20,NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,28644,14,2
21,netty/netty,https://github.com/netty/netty,27480,0,10
22,eugenp/tutorials,https://github.com/eugenp/tutorials,27393,0,8
23,skylot/jadx,https://github.com/skylot/jadx,27042,14,8
24,crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout,26375,0,3
25,ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,26178,0,4
26,JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,25733,0,8
27,proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down,25380,49,3
28,apolloconfig/apollo,https://github.com/apolloconfig/apollo,25376,32,5
29,jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot,24740,16,2
30,alibaba/druid,https://github.com/alibaba/druid,24450,42,9
31,alibaba/fastjson,https://github.com/alibaba/fastjson,23739,82,9
32,greenrobot/EventBus,https://github.com/greenrobot/EventBus,23579,5,9
33,xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,23226,0,3
34,scwang90/SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,22928,8,4
35,lenve/vhr,https://github.com/lenve/vhr,22233,0,3
36,CymChad/BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,22231,191,5
37,dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,21991,135,5
38,Netflix/Hystrix,https://github.com/Netflix/Hystrix,21914,79,8
39,SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,21570,69,8
40,wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,21561,0,3
41,hollischuang/toBeTopJavaer,https://github.com/hollischuang/toBeTopJavaer,21485,0,2
42,qiurunze123/miaosha,https://github.com/qiurunze123/miaosha,21436,0,2
43,signalapp/Signal-Android,https://github.com/signalapp/Signal-Android,21077,0,9
44,alibaba/easyexcel,https://github.com/alibaba/easyexcel,21010,1,3
45,seata/seata,https://github.com/seata/seata,20711,31,2
46,alibaba/canal,https://github.com/alibaba/canal,20339,21,8
47,dromara/hutool,https://github.com/dromara/hutool,20295,99,7
48,google/gson,https://github.com/google/gson,20003,1,6
49,alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,20000,25,3
50,apache/kafka,https://github.com/apache/kafka,19790,0,10
51,halo-dev/halo,https://github.com/halo-dev/halo,19648,72,3
52,ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid,19491,18,7
53,xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,19317,30,5
54,google/ExoPlayer,https://github.com/google/ExoPlayer,18203,13,7
55,square/picasso,https://github.com/square/picasso,18109,7,8
56,Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,17908,5,9
57,didi/DoraemonKit,https://github.com/didi/DoraemonKit,17890,4,3
58,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,17790,123,10
59,DrKLO/Telegram,https://github.com/DrKLO/Telegram,17751,68,7
60,apache/skywalking,https://github.com/apache/skywalking,17641,46,5
61,redisson/redisson,https://github.com/redisson/redisson,17305,99,7
62,bazelbuild/bazel,https://github.com/bazelbuild/bazel,17274,115,7
63,alibaba/Sentinel,https://github.com/alibaba/Sentinel,17217,18,3
64,apache/flink,https://github.com/apache/flink,17032,0,7
65,facebook/fresco,https://github.com/facebook/fresco,16650,44,6
